name,year,rating,metascore,vote,imdb_id,poster,genre,certificate,runtime,director_actor,story,imdbId,movieId,tmdbId,title,genres,genre1
Why Has Bodhi-Dharma Left for the East?,1989,7.5,,1189,tt0097195,https://m.media-amazon.com/images/M/MV5BNDliNDAzNjgtODgyMC00MTMxLWI1YmItMzkzYjY1NjU3ZmJmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@..jpg,"
Drama            ",Not Rated,137 min,"
    Director:
Yong-Kyun Bae
| 
    Stars:
Yi Pan-Yong, 
Sin Won-Sop, 
Hae-Jin Huang, 
Su-Myong Ko
","
    About three monks in a remote monastery; an aging master, a small orphan and a young man who left his city life to seek Enlightenment.",97195,32705,62637,Why Has Bodhi-Dharma Left for the East?: A Zen Fable (Dharmaga tongjoguro kan kkadalgun) (1989),Drama,Drama
301/302,1995,6.4,,960,tt0112257,https://m.media-amazon.com/images/M/MV5BOTE0MGU3MGQtZjVhMi00OTU4LWE3ZjYtY2I2ZDI1YmY2Y2I4XkEyXkFqcGdeQXVyMjgyNjk3MzE@..jpg,"
Horror, Mystery, Thriller            ",Unrated,100 min,"
    Director:
Cheol-su Park
| 
    Stars:
Eun-jin Pang, 
Sin-hye Hwang, 
Chu-Ryun Kim
","
    Two obsessive-compulsives, a chef and an anorexic writer, are neighbors in an apartment building. The chef (301) tries to entice her neighbor to eat with fabulous meals. The writer (302) ...                See full summary »
",112257,652,54285,"301, 302 (301/302) (1995)",Horror|Mystery|Thriller,Horror
Christmas in August,1998,7.6,,3178,tt0140825,https://m.media-amazon.com/images/M/MV5BOTU0MWMyZDEtMDg2NC00ODI5LWI3YTctZGMxOTQ3ZjU4YmVlXkEyXkFqcGdeQXVyMzY2MDk0MTk@..jpg,"
Drama, Romance            ",Not Rated,97 min,"
    Director:
Jin-ho Hur
| 
    Stars:
Suk-kyu Han, 
Eun-ha Shim, 
Goo Shin, 
Ji-hye Oh
","
    Hahn Suk-Kyu suffers from a fatal disease. He meets Shim Eun-Ha and falls in love with her. What will be the fate of this love - will it be a tragic ending?",140825,34464,26935,Christmas in August (Palwolui Christmas) (1998),Drama|Romance,Drama
The Housemaid,1960,7.3,,3119,tt0150980,https://m.media-amazon.com/images/M/MV5BYTNlNjZlYWYtMWViMy00MDRjLTllNjQtYTFkZTExM2IyYzg1XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,"
Crime, Drama, Thriller            ",Not Rated,109 min,"
    Director:
Ki-young Kim
| 
    Stars:
Jin Kyu Kim, 
Jeung-nyeo Ju, 
Eun-shim Lee, 
Aeng-ran Eom
","
    A composer and his wife are thrown into turmoil when a housemaid becomes more than they bargained for.",150980,87040,42506,"Housemaid, The (Hanyo) (1960)",Crime|Drama|Horror,Crime
The Quiet Family,1998,7,,4090,tt0188503,https://m.media-amazon.com/images/M/MV5BYWVhZDUyOWQtYmYzYi00MmI4LTk4YjctMGY2MDA3MDlmZGI2XkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg,"
Comedy, Crime, Horror            ",,101 min,"
    Director:
Jee-woon Kim
| 
    Stars:
In-hwan Park, 
Moon-hee Na, 
Kang-ho Song, 
Min-sik Choi
","
    A family opens a mountain inn where their first guest commits suicide. Suddenly all their guests befall horrible fates.",188503,170551,74336,The Quiet Family (1998),Comedy,Comedy
Birdcage Inn,1998,7,,1610,tt0190268,https://m.media-amazon.com/images/M/MV5BY2ExNzE0ZDQtN2VkNC00Y2M3LTlkMjYtZmVmMzQ4NDBhOGNlXkEyXkFqcGdeQXVyMjExNjgyMTc@..jpg,"
Drama            ",,105 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Ji-eun Lee, 
Hye Eun Lee, 
Jae-mo Ahn, 
Hyeong-gi Jeong
","
    Streetwise Jin-a moves into a boarding house run by a small, close-knit family. But her unacceptable behavior threatens to destroy them all.",190268,41820,2777,Birdcage Inn (Paran daemun) (1998),Drama,Drama
Swiri,1999,6.6,50,7761,tt0192657,https://m.media-amazon.com/images/M/MV5BZDZmMTQ0OWMtYTM1YS00MWM1LWFhZTQtOTc3NzI1ZGQyOTkzXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@..jpg,"
Action, Thriller            ",R,125 min,"
    Director:
Je-kyu Kang
| 
    Stars:
Suk-kyu Han, 
Min-sik Choi, 
Yunjin Kim, 
Kang-ho Song
","
    South Korean agents Ryu and Lee are tracking a female assassin from North Korea who has mysteriously disappeared. With new killings and the theft of a deadly bomb, time is running out to catch her.",192657,8093,10355,Shiri (Swiri) (1999),Action|Drama|Romance|Thriller,Action
Tell Me Something,1999,6.5,61,2867,tt0220806,https://m.media-amazon.com/images/M/MV5BMjEyMTQwNjIyMF5BMl5BanBnXkFtZTcwMDkyODAzMQ@@..jpg,"
Crime, Mystery, Thriller            ",R,118 min,"
    Director:
Yun-hyeon Jang
| 
    Stars:
Suk-kyu Han, 
Eun-ha Shim, 
Hang-Seon Jang, 
Jung-ah Yum
","
    Lieutenant Cho, a cop on the edge, is mourning the recent death of his mother, while under investigation for graft. On top of that, he is suddenly put in charge of a seemingly impenetrable mystery.",220806,50165,16371,Tell Me Something (Telmisseomding) (1999),Crime|Horror|Mystery|Thriller,Crime
Nowhere to Hide,1999,6.5,55,1767,tt0223530,https://m.media-amazon.com/images/M/MV5BM2EyNjMwYzYtODkyZC00YzNlLTkxM2UtN2Q1ODc3Y2JjYjhjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,"
Action, Drama            ",R,112 min,"
    Director:
Myung-se Lee
| 
    Stars:
Joong-Hoon Park, 
Sung-Ki Ahn, 
Dong-Gun Jang, 
Ji-woo Choi
","
    Detective Woo is on the trail of the mysterious gangster Sungmin, a master of disguise who always manages to elude his pursuers. Eventually, the cop tracks down and confronts the master-criminal in the suburbs of a coal-mining town.",223530,4026,25660,Nowhere to Hide (Injeong sajeong bol geot eobtda) (1999),Action|Comedy|Crime|Thriller,Action
Whispering Corridors,1998,6.1,,2890,tt0241073,https://m.media-amazon.com/images/M/MV5BYTQ1NWVlMTYtYWRmNi00NTI4LWJmOWMtMGNmOWY1MGM2ZjhhXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@..jpg,"
Drama, Horror, Mystery            ",R,105 min,"
    Director:
Ki-hyeong Park
| 
    Stars:
Kang-hee Choi, 
Gyu-ri Kim, 
Min-Jung Kim, 
Roe-ha Kim
","
    While investigating the school files, the frightened teacher Mrs. Park startles and calls the young teacher Eun-young Hur, telling her that the deceased Jin-ju Jang is back. The line dies ...                See full summary »
",241073,34505,40254,Whispering Corridors (Yeogo Goedam) (1998),Drama|Horror,Drama
Chunhyang,2000,7.1,79,1556,tt0245837,https://m.media-amazon.com/images/M/MV5BMTg0NTAwNDU0NV5BMl5BanBnXkFtZTcwMjgxOTQxMQ@@..jpg,"
Drama, Musical, Romance            ",R,116 min,"
    Director:
Kwon-taek Im
| 
    Stars:
Hyo-jeong Lee, 
Seung-woo Cho, 
Seong-nyeo Kim, 
Hak-young Kim
","
    Mongryong marries the beautiful Chunhyang without telling his father, the Governor of Namwon. When his father is transferred to Seoul, Mongryong has to leave Chunhyang and finish his exams....                See full summary »
",245837,6648,54986,Chunhyang (2000),Drama|Musical|Romance,Drama
Peppermint Candy,1999,7.7,,7397,tt0247613,https://m.media-amazon.com/images/M/MV5BNjA4OTUxNTkwOF5BMl5BanBnXkFtZTcwOTIyNzYzMQ@@..jpg,"
Drama            ",Not Rated,129 min,"
    Director:
Chang-dong Lee
| 
    Stars:
Kyung-gu Sol, 
Yeo-jin Kim, 
So-Ri Moon, 
Se-beom Park
","
    Consists of five phases of a man's life about why he committed suicide in the end.",247613,61018,41245,Peppermint Candy (Bakha satang) (1999),Drama,Drama
The Isle,2000,7,61,12287,tt0255589,https://m.media-amazon.com/images/M/MV5BM2NkMjI2ZDctNDdjYy00ZGVkLWExNTQtZWM4MTgxYzAxMDJmXkEyXkFqcGdeQXVyMzM4MjM0Nzg@..jpg,"
Drama, Thriller            ",Not Rated,90 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Jung Suh, 
Yu-seok Kim, 
Jae-Hyun Cho, 
Hang-Seon Jang
","
    Working at a fishing resort in an idyllic location, but surrounded by various facets of human unpleasantness, a young mute woman falls in love with a man on the run from the law for committing murder.",255589,5526,8653,"Isle, The (Seom) (2000)",Drama,Drama
Joint Security Area,2000,7.8,58,25169,tt0260991,https://m.media-amazon.com/images/M/MV5BZjI3NjFlOTktN2JhYy00NjhjLWFmYWYtMDk3ZTkwOWQwZTAwXkEyXkFqcGdeQXVyMTMxODk2OTU@..jpg,"
Action, Drama, Thriller            ",Not Rated,110 min,"
    Director:
Chan-wook Park
| 
    Stars:
Yeong-ae Lee, 
Byung-hun Lee, 
Kang-ho Song, 
Tae-woo Kim
","
    After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",260991,27397,2440,Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),Crime|Drama|Mystery|Thriller|War,Crime
The Foul King,2000,6.9,,1673,tt0261552,https://m.media-amazon.com/images/M/MV5BMjA3Njc0MDM1N15BMl5BanBnXkFtZTcwOTAyMTIyMQ@@..jpg,"
Comedy, Sport            ",,112 min,"
    Director:
Jee-woon Kim
| 
    Stars:
Sang-Myeon Park, 
Kang-ho Song, 
Ho-kyung Go, 
Seong-sik Han
","
    Dae-Ho is an unproductive bank clerk who is late to work every morning and the object of his manager's frustrations. He was a fan of TV wrestling as a child, but can't get out of a headlock...                See full summary »
",261552,32655,52663,"Foul King, The (Banchikwang) (2000)",Comedy,Comedy
Attack the Gas Station!,1999,7,,4064,tt0262246,https://m.media-amazon.com/images/M/MV5BMTMyMjYyNDY2MV5BMl5BanBnXkFtZTcwMzU2NzAzMQ@@..jpg,"
Comedy            ",R,113 min,"
    Director:
Sang-Jin Kim
| 
    Stars:
Sung-Jae Lee, 
Oh-seong Yu, 
Seong-jin Kang, 
Ji-Tae Yoo
","
    Four disaffected youths rob a gas station but find their plans complicated and sidetracked before the night is through.",262246,8805,16606,Attack the Gas Station! (Juyuso seubgyuksageun) (1999),Comedy|Crime,Comedy
Memento Mori,1999,6.4,,3128,tt0266075,https://m.media-amazon.com/images/M/MV5BZGFhMGVkY2QtNTUxNy00NTdmLWE3ZDYtMjQyZWYxNzQwMzMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,"
Horror, Romance, Drama            ",R,97 min,"
    Directors:
Tae-yong Kim, 
Kyu-dong Min
| 
    Stars:
Gyu-ri Kim, 
Park Yejin, 
Yeong-jin Lee, 
Jong-hak Baek
","
    In this second installment of the Whispering Corridors series, a young girl finds a strange diary, capable of arousing hallucinations, kept by two of her senior fellow-students who seem to have an unusually close bond.",266075,46912,54111,Memento Mori (Yeogo goedam II) (1999),Horror,Horror
Barking Dogs Never Bite,2000,7,66,5379,tt0269743,https://m.media-amazon.com/images/M/MV5BMjJkOGVlOWUtODRmNS00NmViLTliMDctMTVjYjhhMDBmYjVlXkEyXkFqcGdeQXVyMjYzMDI3OTY@..jpg,"
Comedy            ",Not Rated,110 min,"
    Director:
Bong Joon Ho
| 
    Stars:
Doona Bae, 
Sung-Jae Lee, 
Ho-jung Kim, 
Hee-Bong Byun
","
    An idle part-time college lecturer is annoyed by the yapping sound of a nearby dog. He decides to take drastic action.",269743,78626,21531,Barking Dogs Never Bite (Flandersui gae) (2000),Comedy|Horror,Comedy
Real Fiction,2000,5.9,,1341,tt0269857,https://m.media-amazon.com/images/M/MV5BMTAwMTM2Njc1NDleQTJeQWpwZ15BbWU3MDUzNDA0MzE@..jpg,"
Crime, Drama            ",,69 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Jin-mo Ju, 
Yi-yeong Shim, 
Min-seok Son, 
Je-rak Lee
","
    The film follows a South Korean artist as he systematically seeks out, and then guns down his real or imagined enemies.",269857,41822,25651,Real Fiction (Shilje sanghwang) (2000),Crime|Drama,Crime
The Warrior,2001,7.1,,10588,tt0275083,https://m.media-amazon.com/images/M/MV5BZWU5YWEwYzUtM2FjMC00YWMzLThjNWYtY2MyZDNkNmZjMTk1XkEyXkFqcGdeQXVyNjk5NzY4OTk@..jpg,"
Action, Drama, History            ",R,158 min,"
    Director:
Sung-su Kim
| 
    Stars:
Woo-sung Jung, 
Sung-Ki Ahn, 
Jin-mo Ju, 
Ziyi Zhang
","
    1375. Nine Koryo warriors, envoys exiled by Imperial China, battle to protect a Chinese Ming Princess from Mongolian troops.",275083,8795,23305,Musa the Warrior (Musa) (2001),Action|Adventure|Drama|War,Action
Address Unknown,2001,7.2,,3294,tt0284815,https://m.media-amazon.com/images/M/MV5BOGZmZWU0ZTAtMDFiNS00MjQ0LWIwNmItMDYxZGRkNGMzMjJmXkEyXkFqcGdeQXVyMzY2MDk0MTk@..jpg,"
Drama, War            ",R,117 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Dong-kun Yang, 
Min-jung Ban, 
Young-min Kim, 
Eun-jin Pang
","
    Romances end in blood and the frail hopes of individuals are torn apart in a vile karmic continuity of colonialism, civil war and occupation. After surviving Japanese colonization, Korea ...                See full summary »
",284815,41824,25650,Address Unknown (2001),Drama|War,Drama
Failan,2001,7.6,,5368,tt0289181,https://m.media-amazon.com/images/M/MV5BMTc5NzM2MDY5MF5BMl5BanBnXkFtZTcwMTMxNDgxMQ@@..jpg,"
Drama, Romance            ",Not Rated,115 min,"
    Director:
Hae-sung Song
| 
    Stars:
Min-sik Choi, 
Cecilia Cheung, 
Dae-Hoon Jeong, 
Hyeong-jin Kong
","
    Kangjae, a small-time gangster, receives news that his wife Failan is dead. However, he had never met her.",289181,75345,18704,Failan (2001),Drama|Romance,Drama
My Sassy Girl,2001,8,,44236,tt0293715,https://m.media-amazon.com/images/M/MV5BMjM2NTYxMTE3OV5BMl5BanBnXkFtZTgwNDgwNjgwMzE@..jpg,"
Comedy, Drama, Romance            ",Not Rated,123 min,"
    Director:
Jae-young Kwak
| 
    Stars:
Tae-Hyun Cha, 
Ji-Hyun Jun, 
In-mun Kim, 
Wok-suk Song
","
    A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",293715,27523,11178,My Sassy Girl (Yeopgijeogin geunyeo) (2001),Comedy|Romance,Comedy
2009: Lost Memories,2002,6.1,40,3209,tt0294252,https://m.media-amazon.com/images/M/MV5BZjFkNTU2NjMtZjY4Ni00NTdkLWIxMDUtZGI1YWE5MWZhNTJiXkEyXkFqcGdeQXVyODU2MDg1NzU@..jpg,"
Action, Drama, Sci-Fi            ",R,136 min,"
    Director:
Si-myung Lee
| 
    Stars:
Dong-Gun Jang, 
Tôru Nakamura, 
Jin-ho Seo, 
Goo Shin
","
    A failed assassination attempt in Harbin, China in 1909 changes the course of history. Now two JBI agents must find the connections between it and an ancient Korean artifact.",294252,31647,23132,2009: Lost Memories (2002),Action|Sci-Fi|Thriller,Action
