,name,year,rating,metascore,vote,imdb_id,poster,genre,certificate,runtime,director_actor,story,imdbId,movieId,tmdbId,title,genres
0,The Stray Bullet,(1961),7.3,,484.0,tt0053577,"https://m.media-amazon.com/images/M/MV5BN2QyZGM2ZDItOWY0MC00NzFhLThmODEtOTU1NzI1Y2FiYTY3XkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_UX67_CR0,0,67,98_AL_.jpg","
Drama            ",Not Rated,110 min,"
    Director:
Hyun-mok Yoo
| 
    Stars:
Mu-ryong Choi, 
Jin Kyu Kim, 
Jeong-suk Moon, 
Ae-ja Seo
","
    A pressured accountant, his war veteran brother and their dysfunctional family struggle with integrating into post-War Korean society.",53577,191435,70909.0,Aimless Bullet (1961),Drama
1,"Yongary, Monster from the Deep",(1967),3.8,,1341.0,tt0061549,"https://m.media-amazon.com/images/M/MV5BNGM4NWQzM2ItYzg1Mi00NjkxLTk0ODgtZmI5ZjI2MmRlMjY0XkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UY98_CR1,0,67,98_AL_.jpg","
Action, Adventure, Comedy            ",PG,80 min,"
    Director:
Ki-duk Kim
| 
    Stars:
Yeong-il Oh, 
Jeong-im Nam, 
Soon-jae Lee, 
Moon Kang
","
    Earthquakes in central Korea turn out to be the work of Yongary, a prehistoric gasoline-eating reptile that soon goes on a rampage through Seoul.",61549,102025,42699.0,Yongary: Monster from the Deep (1967),Children|Horror|Sci-Fi
2,Ape,(1976),2.4,,1456.0,tt0074148,"https://m.media-amazon.com/images/M/MV5BZmM0OWRmZWMtYWQ1Zi00MDYzLWJkZmYtZTBiYTIxYTU1MDY5XkEyXkFqcGdeQXVyMjAxNDQ4NA@@._V1_UY98_CR4,0,67,98_AL_.jpg","
Action, Adventure, Fantasy            ",PG,86 min,"
    Director:
Paul Leder
| 
    Stars:
Rod Arrants, 
Joanna Kerns, 
Alex Nicol, 
Nak-hun Lee
","
    A newly discovered 36-foot gorilla escapes from a freighter off the coast of Korea. At the same time an American actress is filming a movie in the country. Chaos ensues as the ape kidnaps her and rampages through Seoul.",74148,204326,31126.0,A*P*E (1976),Adventure|Horror|Sci-Fi
3,Bruce Lee Fights Back from the Grave,(1976),3.6,,321.0,tt0074247,"https://m.media-amazon.com/images/M/MV5BMmIzYmVmNGQtZDBiMy00ZjAyLWJlYTYtM2FiYmM2MDJlMDRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","
Action            ",R,84 min,"
    Director:
Doo-yong Lee
| 
    Stars:
Jun Chong, 
Deborah Dutch, 
Su-cheon Bae, 
Anthony Bronson
","
    A kung Fu expert travels to America to take out a gang of mysterious villains responsible for the murder of his best friend.",74247,179187,54840.0,Bruce Lee Fights Back from the Grave (1976),Action
4,Mandala,(1981),7.4,,263.0,tt0082704,"https://m.media-amazon.com/images/M/MV5BOGQ3ZmMzODQtYTNiZC00NTgwLWJjZDEtNmQyZWFjNTkwOWZkXkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_UX67_CR0,0,67,98_AL_.jpg","
Drama            ",,117 min,"
    Director:
Kwon-taek Im
| 
    Stars:
Sung-Ki Ahn, 
Mu-song Jeon, 
Jong-su Kim, 
Michelle Okkyung Lee
","
    A story that follows the lives and interactions of two Buddhist monks living in South Korea.",82704,183863,255982.0,Mandala (1981),Drama
5,Inchon,(1981),2.6,,633.0,tt0084132,"https://m.media-amazon.com/images/M/MV5BYWYwYzE3YzAtN2VhMS00NDAxLWI2ZDUtMTRkNzE0Mzg3MmJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTM3NzQ5NzQ@._V1_UX67_CR0,0,67,98_AL_.jpg","
Drama, History, War            ",PG,140 min,"
    Director:
Terence Young
| 
    Stars:
Laurence Olivier, 
Jacqueline Bisset, 
Ben Gazzara, 
Toshirô Mifune
","
    During the Korean War, General Douglas MacArthur masterminds the amphibious invasion of Inchon in September 1950.",84132,147887,113464.0,Inchon (1981),Drama|War
6,Starchaser: The Legend of Orin,(1985),6.6,,1877.0,tt0090065,"https://m.media-amazon.com/images/M/MV5BZDY3YjZkOGItZGI2Ny00YjI1LWFkYjktYWRjODJhZGE5YmJjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","
Animation, Action, Adventure            ",PG,100 min,"
    Director:
Steven Hahn
| 
    Stars:
Joe Colligan, 
Carmen Argenziano, 
Noelle North, 
Anthony De Longis
","
    Set on the subterranean Mine-World, a band of human worker are treated like slaves under the power of the evil overlord Zygon until one, Orin, unearths the hilt of a mythical sword that ...                See full summary »
",90065,162394,32147.0,Starchaser: The Legend of Orin (1985),Adventure|Animation|Children|Sci-Fi
7,The Surrogate Woman,(1987),7.0,,286.0,tt0091953,"https://m.media-amazon.com/images/M/MV5BMTQ1MjgyOTIxOV5BMl5BanBnXkFtZTgwNzI1NzU0NDE@._V1_UY98_CR3,0,67,98_AL_.jpg","
Drama            ",Not Rated,100 min,"
    Director:
Kwon-taek Im
| 
    Stars:
Soo-youn Kang, 
Gu-sun Lee, 
Yang-ha Yun, 
Eun-jin Han
","
    BEST ACTRESS WINNER AT VENICE FILM FESTIVAL !! Shin, a nobleman, had been trying to conceive a male heir to pass his family name. Unable to provide a male heir, Shin's wife gives her ...                See full summary »
",91953,165511,204051.0,The Surrogate Womb (1987),(no genres listed)
8,Aje aje bara aje,(1989),6.8,,132.0,tt0096778,"https://m.media-amazon.com/images/M/MV5BMTkxMDgyNTgtOGUwNS00ZjhkLTgwNjYtNmYzOTBiODIyODg1XkEyXkFqcGdeQXVyNDY5NjU5MDE@._V1_UY98_CR1,0,67,98_AL_.jpg","
Drama            ",,134 min,"
    Director:
Kwon-taek Im
| 
    Stars:
Soo-youn Kang, 
Yeong-mi Jin, 
In-chon Yu, 
Mu-song Jeon
","
    Sun Nyog struggles after joining a Buddhist temple as a nun for lack of discipline. She saves an alcoholic from suicide but he later rapes her and she is forced out of the temple. Still, ...                See full summary »
",96778,205599,223478.0,"Come, Come, Come Upward (1989)",Drama
9,Why Has Bodhi-Dharma Left for the East?,(1989),7.5,,1189.0,tt0097195,"https://m.media-amazon.com/images/M/MV5BNDliNDAzNjgtODgyMC00MTMxLWI1YmItMzkzYjY1NjU3ZmJmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY98_CR1,0,67,98_AL_.jpg","
Drama            ",Not Rated,137 min,"
    Director:
Yong-Kyun Bae
| 
    Stars:
Yi Pan-Yong, 
Sin Won-Sop, 
Hae-Jin Huang, 
Su-Myong Ko
","
    About three monks in a remote monastery; an aging master, a small orphan and a young man who left his city life to seek Enlightenment.",97195,32705,62637.0,Why Has Bodhi-Dharma Left for the East?: A Zen Fable (Dharmaga tongjoguro kan kkadalgun) (1989),Drama
